goos: darwin
goarch: arm64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledBLS12381G1Add/bls_g1add_(g1+g1=2*g1)-Gas=500-12         	  337947	      3415 ns/op	       500.0 gas/op	       146.4 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/bls_g1add_(2*g1+3*g1=5*g1)-Gas=500-12     	  350588	      3418 ns/op	       500.0 gas/op	       146.3 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/bls_g1add_(inf+g1=g1)-Gas=500-12          	  419338	      2846 ns/op	       500.0 gas/op	       175.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/bls_g1add_(inf+inf=inf)-Gas=500-12        	 1411230	       846.5 ns/op	       500.0 gas/op	       590.6 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_0-Gas=500-12                	  350325	      3386 ns/op	       500.0 gas/op	       147.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_1-Gas=500-12                	  353270	      3370 ns/op	       500.0 gas/op	       148.3 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_2-Gas=500-12                	  354202	      3379 ns/op	       500.0 gas/op	       147.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_3-Gas=500-12                	  350869	      3439 ns/op	       500.0 gas/op	       145.4 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_4-Gas=500-12                	  354818	      3377 ns/op	       500.0 gas/op	       148.0 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_5-Gas=500-12                	  354074	      3376 ns/op	       500.0 gas/op	       148.1 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_6-Gas=500-12                	  346194	      3456 ns/op	       500.0 gas/op	       144.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_7-Gas=500-12                	  350996	      3456 ns/op	       500.0 gas/op	       144.7 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_8-Gas=500-12                	  347125	      3404 ns/op	       500.0 gas/op	       146.9 mgas/s	     320 B/op	       3 allocs/op
BenchmarkPrecompiledBLS12381G1Add/matter_g1_add_9-Gas=500-12                	  351399	      3378 ns/op	       500.0 gas/op	       148.0 mgas/s	     320 B/op	       3 allocs/op
